threshold,ipa,error
1.0,0.001,0.09565556402011435
0.9750000000000001,0.001,0.0999667607822183
0.9500000000000001,0.001,0.10457652036936627
0.925,0.001,0.10954698403766418
0.9,0.001,0.11512984717922838
0.8750000000000001,0.001,0.12157007858141897
0.8500000000000001,0.001,0.1290223618518518
1.0,0.002,0.13242383768553373
0.8250000000000001,0.001,0.1371433041959985
0.9750000000000001,0.002,0.13865431423150734
0.9500000000000001,0.002,0.1450857028702926
0.8,0.001,0.14577986497549406
1.0,0.003,0.14590705152520003
1.0,0.004,0.14644660086912345
1.0,0.005,0.14698311822504911
1.0,0.007,0.14739414927603747
1.0,0.006,0.14824485723761988
1.0,0.008,0.14850739729689288
1.0,0.009000000000000001,0.14977588680547582
1.0,0.011,0.15046999605824485
1.0,0.013000000000000001,0.1505052337175314
1.0,0.010000000000000002,0.15122136588342405
0.925,0.002,0.1519588777496632
1.0,0.012,0.15205382659785144
0.9750000000000001,0.003,0.1528526096093638
1.0,0.014000000000000002,0.15293054568836645
0.9750000000000001,0.004,0.1535047727756069
1.0,0.015,0.1536172784355417
1.0,0.016,0.15370937520771866
1.0,0.018000000000000002,0.15372478144217777
0.9750000000000001,0.005,0.15437089653212752
0.775,0.001,0.15464132300432157
1.0,0.017,0.1546597065927627
0.9750000000000001,0.006,0.15498208207330139
0.9750000000000001,0.007,0.15506434455756513
1.0,0.019000000000000003,0.15601402019625382
1.0,0.022000000000000002,0.15611283749471816
0.9750000000000001,0.010000000000000002,0.15631542820437994
0.9750000000000001,0.008,0.15633912627872737
1.0,0.021,0.1564449368179009
0.9750000000000001,0.009000000000000001,0.15647801489300128
1.0,0.023,0.15671545289360825
1.0,0.02,0.15685301481969657
0.9750000000000001,0.011,0.15688569319915474
1.0,0.024,0.15760491746362232
1.0,0.025,0.1581844876882373
0.9750000000000001,0.012,0.1584789202874562
1.0,0.027000000000000003,0.15859182566953492
0.9750000000000001,0.014000000000000002,0.15887730131222141
0.9750000000000001,0.015,0.15976570057860437
0.9750000000000001,0.013000000000000001,0.15983967923564582
1.0,0.030000000000000002,0.1600484198800448
0.9,0.002,0.16017310670590132
1.0,0.031,0.16020497393700478
0.9500000000000001,0.003,0.1605033251912933
0.9750000000000001,0.016,0.1606001147638614
1.0,0.026000000000000002,0.1606102921550176
0.9500000000000001,0.004,0.16095174382922198
0.9750000000000001,0.017,0.16123258790425893
0.9500000000000001,0.005,0.16192061798337942
0.9750000000000001,0.018000000000000002,0.16198560980103446
1.0,0.034,0.16238497619343908
0.9500000000000001,0.006,0.16239052965331724
0.9750000000000001,0.019000000000000003,0.16277117316045114
0.9500000000000001,0.007,0.16331485506034765
0.9750000000000001,0.02,0.16348919934898673
1.0,0.028,0.1637239187433584
1.0,0.032,0.16375347962062667
1.0,0.033,0.1639872259498395
1.0,0.035,0.1640006274506666
1.0,0.029,0.16403869233120993
0.7500000000000001,0.001,0.1641097874864314
0.9500000000000001,0.008,0.1641630693132176
0.9750000000000001,0.021,0.16445947516343012
0.9500000000000001,0.010000000000000002,0.16450590596677983
0.9500000000000001,0.009000000000000001,0.16471528274642339
0.9750000000000001,0.022000000000000002,0.16546862685427094
0.9500000000000001,0.011,0.1658941117271059
0.9500000000000001,0.012,0.16604412166717994
1.0,0.038,0.16608990001131552
1.0,0.041,0.1663416870100898
1.0,0.04,0.16645065897622557
0.9500000000000001,0.013000000000000001,0.1664999444304854
1.0,0.037000000000000005,0.1667607523782361
0.9750000000000001,0.023,0.16688942794315526
0.9500000000000001,0.014000000000000002,0.16719271578127254
0.9750000000000001,0.031,0.16755441066073115
0.9500000000000001,0.015,0.16773762003232365
0.9750000000000001,0.027000000000000003,0.16813547599199366
0.9750000000000001,0.024,0.16823583464489159
0.925,0.003,0.16856610466284072
0.9750000000000001,0.025,0.1685910756648931
1.0,0.036000000000000004,0.16884148807404128
0.9750000000000001,0.026000000000000002,0.1688544259494224
0.925,0.004,0.1689899860724552
0.9750000000000001,0.028,0.16899688278914549
0.8750000000000001,0.002,0.169351943839505
0.9500000000000001,0.016,0.16936055516157575
0.925,0.005,0.16966115253664163
0.9750000000000001,0.034,0.16985463504401893
